#Position (bp)	Coverage
5763.5	180.48707270518827
17289.5	150.40577824049973
28815.5	166.88695124067326
40341.5	156.46330036439355
51867.5	157.61929550581294
63393.5	164.35476314419574
74919.5	160.3524206142634
86445.5	171.63248308172825
97971.5	178.01457574180114
109497.5	169.00329689397884
121023.5	170.70284574006592
132549.5	160.04650355717507
144075.5	162.9595696685754
155601.5	157.71030713170225
167127.5	159.22687836196425
178653.5	154.75238591011626
190179.5	180.3266527850078
201705.5	164.74076002082248
213231.5	154.89250390421657
224757.5	162.85589102897796
236283.5	153.16076696165192
247809.5	163.43484296373416
259335.5	177.3492972410203
266855.5	197.49402390438246
272618.5	174.04705441837245
282387.5	165.71308346347388
293913.5	165.3230956099254
305439.5	167.6391636300538
316965.5	168.03617907339927
328491.5	158.9686795072011
340017.5	160.8610966510498
351543.5	173.523598820059
363069.5	168.64497657470068
374595.5	163.6340447683498
386121.5	164.01023772340795
397647.5	161.0609057782405
409173.5	173.06914801318757
420699.5	162.7912545549193
432225.5	150.19486378622244
443751.5	150.2712996703106
455277.5	168.83567586326566
466803.5	177.89180982127365
478329.5	172.23104285962174
486243.0	146.7016972797024
492006.0	143.10837370242214
501381.5	185.1947770258546
512907.5	183.00928335936143
524433.5	174.36630227312165
535959.5	186.28986638903348
547485.5	161.8700329689398
559011.5	150.97414541037654
570537.5	169.1126149574874
582063.5	173.96503557175083
593589.5	175.931112267916
605115.5	183.79047371160854
616641.5	183.7010237723408
628167.5	158.96546937359014
639693.5	173.97709526288392
651219.5	179.41827173347215
662745.5	180.99731042859622
674271.5	185.54849904563596
685797.5	159.58389727572444
694797.5	171.8489341983318
700560.5	160.58709422011086
708849.5	162.03904216553877
720375.5	181.92937706055875
731901.5	173.94161027242757
743427.5	170.5941349991324
754953.5	174.82049279888946
766479.5	170.8452195037307
778005.5	170.77190699288565
789531.5	150.2121290994274
801057.5	155.80878014922783
812583.5	162.72791948637862
824109.5	168.6528717681763
835635.5	155.3885129272948
847161.5	170.73199722366823
858687.5	169.95219503730695
870213.5	178.37957660940484
879868.5	181.65660328879753
885631.5	220.1865312667023
893265.5	169.2475273295159
904791.5	192.1075828561513
916317.5	183.42842269651223
927843.5	206.2178552837064
939369.5	200.2616692694777
950895.5	179.51344785701892
962421.5	190.4393545028631
973947.5	174.11539128925907
985473.5	179.72106541731736
996999.5	172.22418879056048
1008525.5	190.5606454971369
1020051.5	168.04954017005034
1031577.5	181.55353114697206
1043103.5	178.1127017178553
1054629.5	187.19009196598992
1061226.0	201.53929214157168
1066989.0	201.86611218176284
1077681.5	184.64627798021863
1089207.5	201.42347735554398
1100733.5	197.86777719937533
1112259.5	203.29637341662328
1123785.5	201.44829082075307
1135311.5	187.43276071490544
1146837.5	174.35016484469895
1158363.5	164.70605587367692
1169889.5	181.95358320319278
1181415.5	185.13725490196077
1192941.5	191.45557869165364
1204467.5	161.8853895540517
1215993.5	187.96564289432587
1227519.5	203.84010064202673
1235754.0	225.7825207363949
1241517.0	158.99969618714871
1250571.5	168.3815720978657
1262097.5	151.89666840187402
1273623.5	160.41714384868993
1285149.5	162.23243102550754
1296675.5	164.37706055873676
1308201.5	152.26062814506332
1319727.5	154.5033836543467
1331253.5	166.7255769564463
