#Position (bp)	insert size
5803.0	59032.56165209527
17408.0	5268.499312414052
29013.0	1436.6245709382151
40618.0	264.55795032829
52223.0	265.9891936824605
63828.0	258.30348258706465
75433.0	262.6430234362874
87038.0	264.2635522256501
98643.0	853.5427171877251
110248.0	264.3072396332284
121853.0	355.99942946797887
133458.0	869.0334983979027
145063.0	900.8835227272727
156668.0	255.87104493485776
168273.0	18700.430890804597
179878.0	263.0505198418509
191483.0	268.5597451566766
203088.0	328.18963818105027
214693.0	267.62269048709726
226298.0	565.0814878257678
237903.0	263.7536617842876
249508.0	264.27000934288384
261113.0	10331.692165411547
272718.0	13994.046686018384
284323.0	19884.76074247296
295928.0	17380.968573130773
307533.0	326.69531672983214
319138.0	261.68174342105266
330743.0	254.61865284974093
342348.0	261.735270889275
353953.0	262.89867633154745
365558.0	7452.0510252742015
377163.0	5157.547359713222
388768.0	469.6353958749168
400373.0	266.52521946138967
411978.0	271.0708872046366
423583.0	261.9510673690047
435188.0	1088.0219606717383
446793.0	264.1624126405348
458398.0	266.5705324783942
470003.0	261.88122605363986
481608.0	261.15984377260236
493213.0	267.4498049978333
504818.0	262.9506670803599
516423.0	805.332750952986
528028.0	252.14003091190108
539633.0	262.0978508629111
551238.0	268.0769585253456
562843.0	255.75549892703862
574448.0	11111.225352112677
586053.0	259.03968253968253
597658.0	266.09889033942557
609263.0	6238.09547879809
620868.0	260.9863147605083
632473.0	259.66692084794875
644078.0	263.9597891566265
655683.0	259.82104430379746
667288.0	387.32521528525297
678893.0	3753.706006322445
690498.0	561.813277176093
702103.0	266.7755899594168
713708.0	1062.2005396960658
725313.0	753.4005827905382
736918.0	252.13309143686502
748523.0	262.7115839243499
760128.0	262.2474108170311
771733.0	263.8673887587822
783338.0	261.42103798525113
794943.0	265.27752595408685
806548.0	265.42286366601434
818153.0	260.26760114686203
829758.0	261.5542659974906
841363.0	749.1488333333333
852968.0	260.34148064424977
864573.0	268.1097066167291
876178.0	267.7568914499299
887783.0	269.4630517440899
899388.0	777.8717425431711
910993.0	264.78363317943
922598.0	263.89719336331217
934203.0	261.17663775052347
945808.0	261.6249273678094
957413.0	264.429776528045
969018.0	268.1589302182601
980623.0	265.2152572442342
992228.0	264.2052289815448
1003833.0	261.8698298735758
1015438.0	264.00625195373556
1027043.0	263.83970798285986
1038648.0	266.71276429130774
1050253.0	272.1460884598761
1061858.0	808.4268656716417
1073463.0	263.8805431419732
1085068.0	2640.3551149881046
1096673.0	7589.440047079594
1108278.0	260.2398540811673
1119883.0	264.9531041388518
1131488.0	262.1043628374137
1143093.0	267.57883817427387
1154698.0	263.7684046692607
1166303.0	258.84640363695405
1177908.0	265.94174114531614
1189513.0	266.5852448853069
1201118.0	233.33262260127933
1212723.0	249.1399088716162
1224328.0	262.14046411556785
1235933.0	267.9786149037671
1247538.0	265.3450341041424
1259143.0	257.8570519955478
1270748.0	267.11592315206775
1282353.0	261.6183628318584
1293958.0	265.70935663703483
1305563.0	260.98517324738117
1317168.0	275.66875
1328773.0	260.4080065359477
1340378.0	258.1236653386454
1351983.0	668.6122612742738
1363588.0	524.7456686291001
1375193.0	265.7012067578439
1386798.0	266.7169373549884
1398403.0	500.68066966361806
1410008.0	294.78365601080594
1421613.0	0.0
1433218.0	254.27396710790214
1444823.0	531.4908868126819
1456428.0	264.48257839721254
1468033.0	8692.098871063577
1479638.0	264.0747486521929
1491243.0	261.0359734444959
1502848.0	268.37256793696736
1514453.0	260.75383458646616
1526058.0	254.85056279620852
1537663.0	263.7728130899937
1549268.0	259.5199627155507
1560873.0	259.3817229157035
1572478.0	262.76505474452557
1584083.0	735.2196124486201
1595688.0	258.8953175838167
1607293.0	266.58689775799013
1618898.0	261.33948108783994
1630503.0	258.1500163238655
1642108.0	255.96440929312902
1653713.0	18928.99035277178
1665318.0	472.1658711217184
1676923.0	264.3559400587054
1688528.0	266.7519165900031
1700133.0	298.01150295141514
1711738.0	264.50795366795364
1723343.0	263.6669792155024
1734948.0	268.69730869001296
1746553.0	268.5697891263807
1758158.0	263.11135473766643
1769763.0	261.6180339985218
1781368.0	266.7878642331092
1792973.0	260.15503752195434
1804578.0	258.48063912480205
1816183.0	257.2893209973342
